"patch1.before","patch2.before","patch1.after","patch2.after","patch1.other.before","patch2.other.before"
87,43,83,47,75,17
75,49,69,55,73,18
73,58,72,59,75,18
92,53,87,58,66,18
68,53,67,54,65,18
76,54,77,53,71,28
59,49,58,50,77,14
98,45,97,46,74,24
73,50,69,54,61,27
77,51,75,53,88,18
74,49,68,55,77,20
74,56,71,59,75,19
78,54,77,55,65,22
65,47,64,48,70,16
89,55,90,54,75,21
87,52,87,52,72,22
76,39,74,41,79,14
79,55,79,55,54,20
88,38,86,40,68,14
88,49,85,52,63,19
78,37,74,41,58,22
83,54,81,56,74,15
98,52,97,53,60,20
69,52,66,55,81,25
85,55,85,55,70,19
103,45,101,47,66,22
78,45,77,46,62,16
74,59,72,61,74,18
72,57,71,58,65,19
77,47,72,52,79,17
79,45,78,46,77,10
74,43,75,42,81,22
74,55,73,56,81,15
81,57,78,60,62,29
71,38,66,43,65,15
83,56,82,57,66,24
76,57,75,58,56,16
92,53,90,55,70,20
78,46,73,51,69,20
70,63,68,65,61,20
66,46,66,46,85,16
85,44,83,46,70,12
83,55,82,56,54,15
70,51,69,52,65,16
56,60,56,60,73,19
77,56,77,56,73,14
75,47,74,48,77,19
75,47,75,47,79,19
77,52,76,53,76,30
85,53,83,55,64,15
83,45,82,46,87,18
72,44,69,47,64,19
88,55,83,60,71,14
63,41,60,44,86,15
72,45,73,44,70,18
73,44,74,43,75,18
82,52,81,53,46,20
71,42,69,44,75,20
72,50,68,54,69,17
69,46,66,49,82,24
78,35,75,38,76,9
87,53,90,50,83,15
85,45,87,43,66,24
81,46,79,48,80,8
62,48,58,52,66,25
90,39,86,43,68,16
92,55,86,61,67,11
72,56,71,57,67,15
87,46,84,49,74,21
81,55,83,53,60,22
92,60,89,63,68,19
81,47,80,48,64,27
82,49,78,53,71,22
87,63,83,67,75,22
84,61,81,64,65,16
79,47,81,45,66,23
71,56,72,55,63,29
81,47,80,48,54,23
65,55,64,56,65,18
78,55,75,58,83,13
83,51,81,53,81,21
70,59,67,62,68,17
73,47,73,47,57,14
87,48,83,52,83,18
77,50,77,50,67,17
73,63,74,62,77,24
83,47,80,50,49,14
83,51,85,49,62,20
78,41,73,46,60,13
75,55,70,60,64,19
87,48,83,52,60,19
83,46,79,50,71,20
85,42,83,44,73,29
82,46,82,46,69,20
76,61,77,60,64,14
93,55,90,58,72,19
91,51,91,51,69,16
93,50,93,50,83,23
72,60,67,65,62,23
70,41,65,46,68,22
95,47,94,48,82,14
90,46,87,49,75,27
90,53,88,55,79,20
78,53,78,53,67,20
72,49,69,52,72,28
91,48,89,50,60,15
74,62,69,67,74,24
85,55,80,60,54,27
75,39,72,42,66,24
71,57,67,61,82,14
86,43,84,45,59,25
102,58,100,60,78,21
83,42,81,44,68,15
64,40,65,39,60,18
92,46,90,48,74,24
81,41,74,48,62,15
58,61,54,65,74,20
66,48,66,48,51,19
101,43,99,45,73,15
88,59,86,61,71,19
80,64,78,66,60,15
83,51,81,53,72,22
69,47,69,47,68,17
73,46,69,50,97,22
69,52,65,56,62,24
78,54,76,56,70,22
71,52,65,58,75,19
85,57,81,61,73,22
85,39,83,41,67,29
72,46,73,45,68,11
78,57,76,59,63,25
72,47,70,49,74,25
64,47,59,52,81,17
109,52,105,56,66,17
64,49,65,48,61,20
78,53,74,57,79,15
80,52,79,53,78,29
78,43,77,44,64,20
79,59,78,60,72,15
104,46,97,53,72,25
80,48,79,49,72,18
71,49,71,49,84,17
86,54,82,58,78,11
81,57,79,59,77,25
90,52,85,57,67,16
69,45,65,49,91,13
74,55,73,56,73,21
70,46,73,43,84,17
84,45,81,48,63,19
78,55,77,56,63,28
83,43,81,45,68,22
76,48,76,48,68,15
77,54,74,57,74,14
64,60,65,59,51,20
73,67,72,68,96,11
77,49,75,51,71,22
71,45,72,44,58,25
82,46,78,50,72,11
79,53,79,53,65,16
70,43,67,46,66,17
79,49,78,50,64,19
83,41,83,41,78,20
77,44,68,53,62,18
78,36,76,38,64,16
93,52,93,52,71,14
83,62,84,61,66,20
88,59,87,60,68,22
79,42,77,44,74,16
83,41,81,43,67,24
78,47,73,52,68,26
73,60,73,60,64,23
83,51,82,52,73,26
80,42,79,43,62,16
89,54,84,59,61,31
68,57,67,58,53,18
61,67,62,66,56,13
66,47,67,46,80,25
80,49,80,49,71,13
85,53,86,52,74,13
85,60,83,62,65,22
81,45,80,46,70,22
83,48,82,49,82,15
87,52,82,57,74,19
66,54,64,56,77,16
84,47,84,47,77,14
87,49,87,49,88,16
82,46,80,48,81,20
80,41,76,45,67,13
88,43,85,46,86,14
88,56,86,58,78,17
72,59,70,61,57,11
97,39,96,40,62,15
86,52,82,56,73,26
69,58,66,61,66,17
73,49,71,51,75,19
85,45,82,48,81,23
77,50,75,52,70,17
77,53,73,57,68,23
60,44,60,44,79,16
66,49,61,54,75,22
90,64,87,67,74,17
59,52,58,53,78,22
89,55,90,54,79,16
89,48,87,50,74,27
68,56,65,59,59,20
82,49,81,50,97,20
98,49,96,51,67,25
73,47,70,50,69,22
81,51,77,55,66,29
81,46,79,48,47,17
88,41,85,44,61,22
65,43,64,44,60,21
97,40,90,47,63,20
81,40,77,44,67,19
76,41,73,44,73,16
80,40,76,44,65,15
59,48,54,53,66,25
79,60,81,58,80,11
90,72,85,77,73,12
81,54,80,55,60,14
84,43,78,49,63,17
78,44,78,44,66,24
79,45,78,46,64,19
74,45,70,49,76,20
63,64,61,66,58,27
87,44,85,46,70,10
81,47,77,51,66,13
68,51,68,51,64,24
95,44,92,47,78,23
79,40,73,46,69,22
85,48,85,48,73,22
73,45,71,47,85,19
77,38,73,42,74,14
87,57,85,59,60,14
88,60,84,64,90,13
93,34,88,39,62,11
93,48,93,48,75,13
73,49,71,51,85,25
62,48,64,46,76,21
97,42,95,44,69,24
70,59,69,60,67,16
73,49,71,51,77,21
94,43,89,48,73,15
68,50,68,50,70,19
79,37,73,43,77,20
68,45,64,49,77,16
81,64,83,62,57,31
84,53,78,59,63,19
86,44,85,45,53,20
77,41,77,41,94,16
86,46,86,46,67,14
90,46,88,48,84,13
72,47,72,47,76,19
68,41,68,41,70,14
72,48,70,50,78,17
69,49,68,50,84,18
78,51,76,53,71,21
74,47,74,47,68,26
73,39,70,42,76,14
92,50,92,50,68,17
67,46,65,48,67,22
85,37,82,40,72,22
83,46,81,48,70,12
86,44,82,48,64,18
90,62,91,61,66,23
74,47,73,48,87,14
71,50,69,52,81,26
85,50,81,54,74,22
85,55,83,57,72,15
88,52,85,55,56,18
77,56,73,60,56,16
86,44,85,45,80,18
73,41,73,41,64,24
72,50,66,56,79,27
74,32,73,33,77,21
87,46,84,49,72,18
84,53,85,52,57,17
85,56,88,53,55,17
75,62,74,63,73,21
79,51,77,53,73,21
59,44,60,43,66,20
84,43,79,48,71,28
88,39,80,47,75,18
79,54,74,59,65,27
72,47,70,49,71,20
72,48,72,48,54,19
84,42,84,42,75,20
84,50,80,54,85,22
75,54,75,54,75,17
89,40,82,47,70,13
72,56,74,54,60,24
73,49,71,51,84,25
69,30,66,33,65,22
81,54,81,54,67,17
83,60,81,62,77,21
78,51,77,52,69,23
88,40,83,45,57,21
84,47,83,48,67,17
91,51,87,55,71,21
81,34,78,37,61,21
81,58,80,59,61,19
80,43,75,48,62,21
79,52,79,52,78,16
82,49,80,51,73,23
91,58,90,59,55,18
69,44,68,45,78,19
70,60,73,57,73,17
66,43,63,46,72,17
94,57,92,59,73,21
79,45,77,47,64,22
73,59,75,57,80,22
68,52,68,52,69,18
67,48,67,48,67,19
64,59,63,60,80,28
82,51,80,53,71,16
94,48,94,48,74,23
83,47,79,51,67,21
71,51,69,53,57,21
86,52,86,52,65,25
85,51,82,54,71,14
83,42,82,43,64,21
78,55,76,57,75,21
84,48,81,51,82,15
74,48,68,54,55,19
71,50,70,51,83,18
78,47,76,49,69,13
68,41,66,43,62,20
87,49,85,51,70,21
73,49,68,54,73,20
70,44,69,45,95,22
76,59,67,68,64,16
88,49,88,49,69,30
85,56,86,55,55,21
77,49,77,49,77,22
80,44,75,49,78,20
95,62,95,62,68,19
92,47,88,51,77,26
94,38,95,37,98,19
92,57,88,61,69,19
90,44,88,46,66,23
85,37,82,40,52,38
90,43,85,48,65,25
98,55,94,59,72,14
68,54,64,58,70,20
88,54,88,54,60,22
76,45,77,44,73,14
84,66,82,68,53,24
86,55,81,60,72,22
76,56,75,57,89,15
87,52,83,56,64,17
78,52,78,52,67,23
79,61,78,62,58,23
71,47,70,48,90,20
70,50,69,51,80,18
65,49,63,51,65,15
84,55,87,52,62,21
79,47,79,47,55,26
91,53,86,58,58,17
81,58,77,62,76,28
84,55,85,54,71,35
77,48,73,52,76,28
66,53,63,56,67,24
64,36,62,38,85,20
81,55,80,56,87,21
85,50,82,53,72,19
76,48,73,51,81,24
73,47,69,51,71,20
70,55,74,51,72,18
80,52,79,53,64,12
100,59,97,62,76,26
81,54,81,54,84,21
74,45,76,43,82,16
80,50,77,53,74,21
98,45,98,45,67,23
77,49,76,50,62,16
92,48,89,51,66,13
68,49,65,52,59,20
71,44,72,43,72,15
76,57,74,59,88,22
101,45,97,49,75,27
66,41,64,43,67,33
80,50,79,51,59,14
79,53,75,57,60,11
82,60,81,61,62,27
70,40,67,43,78,17
83,43,82,44,73,23
76,50,74,52,70,15
85,56,84,57,82,24
93,43,92,44,72,25
73,48,67,54,67,24
80,50,76,54,63,28
72,65,72,65,62,14
71,53,67,57,68,13
74,40,72,42,82,24
70,47,67,50,61,26
78,48,74,52,74,27
90,47,87,50,71,21
88,52,86,54,66,12
75,42,76,41,88,24
68,48,68,48,73,9
74,57,69,62,67,16
81,49,80,50,79,16
99,51,98,52,63,22
62,47,58,51,62,22
71,44,70,45,68,24
74,46,73,47,75,35
68,51,65,54,87,17
76,60,77,59,76,21
69,48,68,49,64,23
83,49,81,51,76,14
72,43,72,43,53,16
75,56,73,58,68,14
74,47,70,51,92,17
77,53,77,53,80,23
86,46,82,50,53,23
77,42,72,47,76,26
73,62,72,63,70,18
90,35,90,35,79,18
71,49,68,52,74,18
71,64,70,65,60,17
81,45,76,50,70,18
70,44,70,44,80,11
78,55,75,58,61,27
81,53,80,54,63,21
73,50,73,50,69,21
85,49,85,49,67,21
77,41,77,41,67,22
77,42,70,49,58,14
84,53,83,54,68,23
79,57,79,57,82,20
66,46,65,47,72,17
81,40,77,44,66,28
89,46,81,54,64,27
84,56,82,58,83,20
74,57,72,59,77,20
80,52,77,55,67,17
74,41,72,43,78,16
83,49,76,56,68,18
84,53,83,54,75,31
93,46,89,50,72,23
95,57,91,61,65,13
76,50,74,52,64,18
87,44,89,42,73,17
90,46,90,46,81,24
80,63,77,66,64,22
71,46,71,46,74,19
72,40,64,48,77,18
69,54,68,55,92,16
80,46,75,51,75,11
64,53,64,53,68,21
80,58,77,61,82,25
75,52,74,53,60,15
81,44,80,45,59,20
84,53,80,57,60,18
72,46,71,47,64,18
84,35,77,42,75,18
86,54,86,54,62,16
81,52,81,52,63,22
82,55,81,56,70,16
66,57,64,59,75,21
77,47,76,48,64,16
71,56,70,57,74,17
71,52,72,51,80,26
80,56,80,56,66,22
80,41,74,47,67,16
77,42,76,43,73,12
81,47,80,48,66,18
75,54,73,56,65,21
73,54,76,51,64,24
84,43,84,43,77,18
88,58,83,63,66,17
87,48,83,52,75,30
75,45,75,45,84,18
93,40,90,43,56,16
76,60,75,61,55,17
81,37,78,40,77,14
86,70,85,71,75,16
85,51,81,55,70,28
89,51,88,52,60,20
84,39,81,42,69,24
81,61,80,62,77,13
76,56,77,55,73,21
86,39,84,41,63,14
84,54,82,56,70,24
71,47,68,50,83,13
89,48,89,48,78,19
70,54,71,53,87,25
89,54,85,58,61,9
88,44,88,44,75,12
88,52,87,53,75,13
79,48,78,49,78,27
85,47,84,48,60,16
87,60,86,61,66,24
59,47,59,47,72,17
67,55,63,59,75,15
94,54,92,56,74,24
86,46,79,53,71,16
88,48,88,48,65,26
85,52,78,59,80,22
89,55,91,53,60,18
84,55,80,59,69,21
80,47,77,50,73,23
70,43,71,42,84,19
79,39,76,42,79,11
86,44,84,46,68,23
73,49,70,52,65,24
88,42,83,47,73,18
88,51,86,53,51,13
81,51,79,53,59,15
89,61,84,66,79,22
74,57,73,58,69,19
65,60,64,61,66,20
67,42,60,49,77,16
61,48,62,47,76,14
82,59,82,59,75,16
68,38,65,41,56,17
70,43,69,44,68,17
72,46,71,47,70,20
79,61,76,64,73,23
77,59,79,57,89,24
90,57,88,59,76,16
88,44,86,46,82,22
84,40,79,45,67,33
79,53,78,54,55,28
85,53,83,55,85,12
83,40,78,45,85,30
98,52,99,51,62,20
79,48,80,47,58,25
85,52,82,55,60,15
99,50,98,51,51,19
85,49,83,51,77,19
64,46,68,42,78,27
85,44,83,46,73,14
64,55,65,54,70,22
83,47,82,48,54,13
82,42,80,44,73,23
90,46,86,50,69,21
78,40,78,40,71,20
97,54,97,54,64,18
82,42,82,42,63,26
73,44,68,49,71,21
87,46,84,49,80,27
79,42,78,43,84,10
85,58,84,59,70,27
80,59,80,59,67,25
92,46,91,47,74,19
68,56,67,57,76,26
71,47,69,49,75,20
76,34,73,37,70,16
81,45,80,46,70,21
76,53,71,58,75,17
80,55,79,56,70,21
87,66,86,67,70,14
67,43,65,45,82,18
72,49,71,50,70,17
82,50,80,52,65,20
84,69,80,73,68,21
78,56,76,58,64,20
82,42,81,43,94,14
75,43,75,43,70,21
64,35,63,36,60,14
74,54,76,52,67,22
72,38,70,40,70,29
68,43,68,43,50,23
92,42,85,49,54,16
92,40,90,42,68,19
87,46,86,47,78,17
89,47,87,49,69,12
109,49,109,49,78,24
85,50,81,54,54,26
87,42,85,44,78,30
95,48,91,52,81,19
61,58,62,57,65,21
64,48,66,46,75,18
87,53,87,53,69,17
86,55,86,55,66,23
93,51,90,54,70,20
88,57,87,58,72,20
88,50,87,51,68,24
77,39,76,40,63,16
89,55,84,60,45,17
91,66,91,66,72,25
78,66,80,64,65,22
82,56,80,58,64,14
73,59,72,60,71,20
82,52,77,57,59,19
58,64,57,65,69,18
77,58,76,59,65,21
83,58,82,59,74,20
82,41,77,46,79,13
71,48,71,48,92,21
